,Cash,S&P Smallcap 600 Index Swap Societe Generale - Cash Offset,S&P Smallcap 600 Index Swap Bank Of America Na - Cash Offset,S&P Smallcap 600 Index Swap Ubs Ag - Cash Offset,S&P Smallcap 600 Index Swap Morgan Stanley & Co. International Plc - Cash O,S&P Smallcap 600 Index Swap Morgan Stanley & Co. International Plc,S&P Smallcap 600 Index Swap Ubs Ag,S&P Smallcap 600 Index Swap Bank Of America Na,S&P Smallcap 600 Index Swap Societe Generale,SUM
07/09/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/12/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/13/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/14/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/15/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/16/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/19/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/20/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/21/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/22/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/23/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/26/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/27/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/28/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/29/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
07/30/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
08/02/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
08/03/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
08/04/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
08/05/2021,100.0,74.1,48.92,41.32,35.76,-35.76,-41.32,-48.92,-74.1,100.00000000000004
08/06/2021,100.0,69.85,62.24,38.95,28.98,-28.98,-38.95,-62.24,-69.85,99.99999999999997
