,SPY,EFA,EEM,GOVT,Blackrock Liquidity T 60,IWP,IUSB,IXN,IWM,iShares iBoxx $ Invmt Grade Corp Bd ETF,XLK,Spy Us 08/20/21 P315,Cash,Spy Us 07/16/21 C433,LQD,iShares Russell 2000 ETF,Spy Us 08/20/21 C448,SUM
07/09/2021,35.85,16.69,6.82,6.67,6.48,6.47,5.73,4.25,4.08,3.9,3.21,0.01,-0.08,-0.09,0.0,0.0,0.0,99.99
07/12/2021,35.89,16.58,6.6,6.79,6.43,6.46,5.8,4.28,3.98,3.96,3.23,0.02,0.02,-0.05,0.0,0.0,0.0,99.99
07/13/2021,35.89,16.58,6.6,6.79,6.43,6.46,5.8,4.28,3.98,3.96,3.23,0.02,0.02,-0.05,0.0,0.0,0.0,99.99
07/14/2021,35.96,16.72,6.66,6.7,6.42,6.48,5.74,4.29,4.03,3.91,3.23,0.01,-0.06,-0.1,0.0,0.0,0.0,99.99
07/15/2021,36.03,16.77,6.66,6.69,6.41,6.45,5.73,4.29,4.03,3.9,3.23,0.01,-0.06,-0.13,0.0,0.0,0.0,100.01000000000002
07/16/2021,36.02,16.73,6.68,6.69,6.43,6.41,5.73,4.32,3.96,3.9,3.25,0.01,-0.06,-0.1,0.0,0.0,0.0,99.97
07/19/2021,36.03,16.65,6.74,6.75,6.45,6.31,5.77,4.32,0.0,0.0,3.26,0.01,-0.06,-0.05,3.93,3.89,0.0,100.00000000000004
07/20/2021,35.96,16.62,6.73,6.79,6.49,6.32,5.8,4.3,0.0,0.0,3.25,0.01,-0.06,-0.03,3.95,3.86,0.0,99.99
07/21/2021,35.96,16.62,6.73,6.79,6.49,6.32,5.8,4.3,0.0,0.0,3.25,0.01,-0.06,-0.03,3.95,3.86,0.0,99.99
07/22/2021,35.96,16.62,6.73,6.79,6.49,6.32,5.8,4.3,0.0,0.0,3.25,0.01,-0.06,-0.03,3.95,3.86,0.0,99.99
07/23/2021,35.96,16.45,6.64,6.82,6.49,6.43,5.83,4.3,0.0,0.0,3.25,0.01,-0.09,0.0,3.98,3.93,0.0,100.0
07/26/2021,35.36,16.74,6.71,6.83,6.44,6.53,5.84,4.38,0.0,0.0,3.31,0.01,-0.01,0.0,3.99,3.94,-0.05,100.01999999999998
07/27/2021,35.17,16.6,6.51,6.72,7.36,6.51,5.74,4.36,0.0,0.0,3.29,0.01,-0.01,0.0,3.92,3.9,-0.09,99.99000000000002
07/28/2021,35.17,16.6,6.51,6.72,7.36,6.51,5.74,4.36,0.0,0.0,3.29,0.01,-0.01,0.0,3.92,3.9,-0.09,99.99000000000002
